,Age,MonthlyIncome,TotalWorkingYears,YearsAtCompany,DistanceFromHome,PercentSalaryHike,NumCompaniesWorked,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,Attrition
58,49,73140,25,7,1,22,7,7,3,3,0
59,52,47740,11,8,7,18,2,7,3,2,1
60,27,39020,4,4,15,22,1,2,3,2,0
61,32,26620,13,13,1,11,1,9,3,2,0
62,27,28560,5,5,13,12,1,4,4,3,0
63,31,10810,13,7,24,11,4,7,4,4,0
64,32,24720,10,7,7,13,7,7,1,4,0
65,28,56730,5,3,9,14,5,2,1,4,1
66,30,41970,11,10,13,13,1,9,4,4,0
67,31,97130,10,10,2,17,1,9,3,3,0
68,39,20620,21,21,19,13,1,3,3,4,0
69,39,42840,12,1,1,17,4,0,4,3,1
70,33,47880,9,7,4,11,3,1,2,4,0
71,47,59060,21,3,4,23,4,1,4,3,0
72,43,38860,9,9,14,17,1,0,3,3,0
73,27,168230,6,5,2,17,0,4,3,2,0
74,54,29330,20,4,1,12,3,3,4,3,0
75,43,65000,10,1,7,23,8,0,3,1,0
76,45,171740,12,10,3,14,9,8,4,4,0
77,40,50330,6,4,2,14,2,2,2,4,0
78,29,23070,7,7,29,13,1,7,2,1,1
79,29,25870,4,3,8,22,0,2,2,4,0
80,30,55070,10,10,10,12,1,2,4,3,0
81,27,43930,8,8,11,18,1,7,2,2,0
82,37,133480,8,6,1,14,7,4,4,4,0
83,38,65830,12,11,28,12,0,9,3,4,0
84,31,81030,11,11,6,15,1,10,3,4,0
85,29,39780,7,7,3,11,1,7,4,2,0
86,35,25440,17,16,16,13,0,13,3,2,0
87,23,53990,4,4,20,23,1,2,3,4,0
88,41,54870,8,5,9,19,6,2,4,2,0
89,47,68340,5,0,1,16,3,0,2,3,0
90,42,10910,16,1,3,22,2,0,1,4,0
91,29,57360,4,4,22,22,1,2,4,3,0
92,42,22260,4,3,7,12,0,0,3,3,0
93,32,57470,8,8,2,13,1,7,3,2,0
94,48,98540,15,0,13,16,3,0,1,3,0
95,37,54670,13,7,8,12,4,7,3,1,0
96,30,53800,4,2,25,21,7,2,4,3,0
97,26,51510,8,8,28,15,1,7,3,3,0
98,42,21330,14,1,2,13,3,0,1,4,0
99,21,178750,3,3,9,12,1,2,1,2,1
100,36,24320,7,1,28,22,4,0,4,4,0
101,36,47710,16,13,6,13,4,12,1,4,0
102,57,191610,15,3,21,18,2,2,4,3,0
103,40,50870,10,7,8,14,3,7,4,3,0
104,21,28630,3,3,1,14,1,2,1,4,0
105,33,55610,1,1,28,21,1,0,4,3,1
106,37,21440,17,5,5,19,6,3,3,1,0
107,46,30650,7,1,2,11,2,0,3,3,0
108,41,28100,8,8,16,11,1,7,1,2,1
109,50,98880,20,4,9,15,6,3,4,4,0
110,40,86280,8,6,8,20,2,0,3,3,1
111,31,28670,3,2,1,24,0,2,3,2,0
112,21,53730,1,1,10,12,1,0,3,2,1
113,29,66670,6,3,1,12,9,2,4,4,0
114,35,50030,10,1,29,15,9,0,3,2,0
115,27,23670,5,5,2,12,2,4,4,2,0
116,28,28580,7,7,2,12,1,7,2,4,0
117,49,52040,26,5,2,14,8,0,2,3,0
118,51,41050,18,7,1,22,4,7,3,4,0
119,36,96790,6,2,15,12,4,2,4,3,0
120,34,56170,9,5,7,25,8,4,1,4,1
121,55,104480,30,5,26,13,2,2,3,4,0
122,24,28970,5,5,1,18,1,3,4,3,0
123,30,59680,1,1,3,13,1,0,3,2,0
124,26,75100,7,6,14,18,0,4,3,4,1
125,22,29910,2,2,16,19,1,2,1,2,0
126,36,196360,10,10,1,12,1,0,2,3,0
127,30,11290,3,1,3,19,9,0,3,4,1
128,37,133410,18,18,10,14,1,17,4,1,0
129,40,43320,8,5,6,14,7,3,4,2,0
130,42,110310,8,5,2,12,3,2,2,1,0
131,37,44400,18,1,9,11,2,1,3,2,0
132,43,46170,25,25,10,11,1,9,1,2,0
133,40,26470,20,1,6,13,6,0,2,3,0
134,54,63230,24,4,9,23,4,2,1,1,0
135,34,56770,6,3,28,20,9,2,3,3,0
136,31,21870,13,13,10,15,1,12,2,1,0
137,43,37480,10,3,14,14,7,2,4,4,0
138,43,39770,8,5,27,18,4,2,3,3,0
139,25,86330,5,5,7,19,1,3,2,4,0
140,37,20080,15,13,1,22,3,7,2,3,0
141,31,44400,4,4,24,13,1,2,4,1,0
142,39,30670,21,21,26,20,1,6,2,3,0
143,56,53210,36,7,20,14,9,7,3,1,0
144,30,54100,6,5,5,17,0,4,2,3,0
145,41,27820,10,10,7,14,1,7,2,1,0
146,28,119570,10,10,7,13,1,8,3,1,0
147,25,26600,6,2,5,13,5,2,1,1,1
148,52,33750,28,5,26,21,2,4,4,3,0
149,45,50980,8,2,2,14,3,2,1,4,0
150,52,48780,31,5,12,11,2,4,4,4,0
151,42,28370,19,5,10,13,2,2,1,3,0
152,30,24060,11,5,25,20,2,2,3,4,0
153,60,22690,33,29,10,18,5,10,1,1,0
154,46,41080,19,10,19,14,2,8,3,3,0
155,42,132060,7,6,18,13,0,4,4,4,0
156,24,104220,6,5,27,17,1,4,1,2,1
157,34,137440,3,2,5,20,0,0,4,3,1
158,38,49070,1,1,3,11,1,0,4,4,0
159,40,34820,21,20,26,18,0,12,3,3,0
160,26,24360,3,3,3,24,1,2,1,4,0
161,30,23800,9,5,15,18,4,4,3,4,0
162,29,194310,10,10,8,11,1,7,2,3,0
163,29,17900,6,2,19,16,5,1,3,2,1
164,19,76440,1,1,4,15,1,0,1,4,1
165,30,51310,10,9,2,15,0,8,3,1,0
166,57,63060,32,1,2,12,3,0,1,4,0
167,50,47870,28,27,10,12,0,7,2,3,0
168,30,188800,12,11,10,22,0,7,3,4,0
169,60,23390,22,18,16,20,4,11,3,1,0
170,47,135700,20,5,1,16,5,4,1,4,0
171,46,67120,26,3,4,21,6,1,1,3,0
172,35,54060,6,5,15,12,0,3,4,3,0
173,54,89380,19,1,2,11,7,0,3,3,0
174,34,24390,14,7,8,11,3,7,4,3,0
175,46,88370,15,3,2,18,2,2,3,4,0
176,31,53430,13,13,7,14,1,8,3,2,0
177,33,67280,15,7,10,22,7,7,2,3,1
178,33,66520,8,4,5,25,7,3,1,4,1
179,30,48500,4,3,2,12,0,2,4,2,0
180,35,28090,10,8,12,23,4,0,4,3,0
181,31,56890,12,1,22,15,3,0,1,3,1
182,34,20010,11,3,17,22,9,2,2,1,1
183,42,29770,8,2,2,15,4,0,2,3,0
184,36,40250,10,10,3,11,1,7,2,4,0
185,22,37850,4,2,7,13,5,2,3,3,1
186,48,108540,14,9,6,14,2,7,2,4,0
187,55,120310,37,10,1,11,3,7,1,2,0
188,41,99360,16,14,3,17,7,10,4,4,0
189,35,29660,15,11,22,18,9,9,2,3,0
190,40,25710,22,20,15,14,7,13,2,3,0
191,39,99910,8,8,12,16,1,7,3,3,0
192,31,61420,10,6,1,13,4,5,2,4,0
193,42,53900,10,10,5,14,1,8,4,1,0
194,45,44040,9,8,2,23,0,7,4,2,0
195,26,59930,8,7,2,12,0,0,3,3,1
196,29,51300,8,3,5,11,4,2,4,4,0
197,33,20900,10,6,16,16,4,5,1,3,0
198,31,29090,10,5,2,14,9,1,3,4,0
199,18,34680,0,0,2,18,1,0,2,2,1
200,40,30680,20,1,1,19,3,1,3,1,0
201,41,26700,10,8,23,15,2,7,1,3,0
202,26,26930,8,0,9,17,5,0,1,3,0
203,35,95260,5,5,16,15,1,3,1,3,0
204,34,52370,10,10,26,19,1,7,4,4,0
205,26,24260,1,1,1,22,1,0,3,4,1
206,37,41930,12,6,8,16,4,2,2,4,0
207,46,29110,28,2,4,13,5,2,1,3,0
208,41,26610,22,18,24,14,7,8,2,1,0
209,37,20280,9,9,7,16,1,7,1,2,0
210,52,99800,18,10,2,11,2,9,4,1,0
211,32,32980,6,4,7,22,8,2,4,3,1
212,24,29350,3,2,22,14,0,1,4,4,0
213,38,154270,18,1,5,16,3,0,3,3,0
214,37,39440,8,6,1,11,6,3,2,2,0
215,49,40110,31,31,21,18,1,9,4,3,0
216,24,34070,6,6,1,15,1,4,2,4,0
217,26,119940,6,5,19,14,1,4,1,2,0
218,24,12320,1,1,7,12,1,0,4,2,0
219,50,29600,32,32,2,14,1,7,1,2,0
220,25,190940,7,7,2,16,1,6,2,3,0
221,24,39190,6,6,2,21,1,2,1,3,1
222,30,68250,1,1,9,14,1,0,2,1,1
223,34,102480,6,6,6,12,1,3,2,4,0
224,31,189470,9,3,9,12,2,2,2,1,1
225,35,24960,9,3,2,17,4,2,1,4,0
226,31,64650,13,7,1,17,4,7,1,4,0
227,27,22060,6,5,22,14,0,3,1,3,0
228,37,20860,17,3,9,14,4,0,4,3,0
229,20,22930,1,1,17,13,1,0,4,2,0
230,42,26450,10,10,28,15,1,2,3,4,0
231,43,26830,21,1,10,11,4,0,2,4,0
232,38,20140,8,0,2,17,3,0,3,1,0
233,43,34190,10,8,4,11,3,7,4,3,0
234,48,53760,21,3,8,13,7,2,4,1,0
235,44,19510,10,2,29,22,4,2,1,3,0
236,34,23410,8,8,13,20,1,6,3,3,0
237,27,22930,5,4,27,18,0,2,3,1,1
238,21,87260,3,3,16,11,1,2,3,3,0
239,44,40110,26,2,2,14,4,1,4,4,0
240,22,195450,3,2,2,14,0,2,1,3,0
241,33,45680,6,5,13,18,0,2,3,3,0
242,32,30220,6,6,1,16,1,5,1,4,0
243,30,57720,1,1,4,17,1,0,3,3,0
244,53,22690,18,14,24,11,7,10,4,1,0
245,34,53810,10,10,1,12,1,8,2,4,0
246,45,34410,5,1,19,13,2,0,1,1,1
247,26,54540,3,3,7,13,1,2,3,4,0
248,37,98840,10,10,4,14,1,8,3,3,0
249,29,41570,6,6,2,17,1,2,2,3,0
250,35,134580,17,17,10,11,1,8,2,4,0
251,33,90690,15,13,8,25,3,7,3,4,0
252,54,40140,16,9,5,19,2,1,3,2,0
253,36,59150,13,3,8,13,2,2,2,2,0
254,27,59930,5,4,9,14,0,1,1,4,0
255,20,61620,1,1,1,12,1,1,4,3,1
256,33,24060,10,10,15,11,1,7,1,1,1
257,35,187400,1,1,2,19,1,0,3,3,0
258,23,76370,5,3,2,11,2,2,1,1,0
259,25,100960,4,3,11,11,0,2,4,2,0
260,38,147560,8,7,16,20,0,5,4,4,0
261,29,64990,10,10,2,18,1,8,2,4,0
262,48,97240,12,2,16,13,3,2,2,2,0
263,27,21940,6,6,4,12,1,4,4,4,0
264,37,33880,4,1,16,11,3,0,4,4,0
265,50,54730,20,20,5,19,1,8,4,3,0
266,34,27030,9,8,18,21,1,7,4,2,0
267,24,25010,4,2,17,12,9,0,1,3,1
268,39,62200,20,20,12,14,1,10,4,3,0
269,32,30380,10,10,2,11,1,8,4,4,0
270,50,44240,18,4,4,14,3,3,2,3,1
271,38,43120,10,9,9,12,0,8,2,4,0
272,27,132450,9,9,10,23,1,7,3,1,0
273,32,136640,10,7,1,14,3,7,3,4,0
274,47,50210,20,7,2,17,2,7,4,1,0
275,40,51260,20,18,3,18,5,12,4,1,0
276,53,28590,32,5,7,18,3,3,3,3,0
277,41,102390,23,21,6,24,3,6,2,4,0
278,60,53290,10,2,8,20,8,2,1,1,0
279,27,43250,9,9,29,14,1,7,4,1,0
280,41,72600,22,22,3,16,1,10,4,3,0
281,50,23220,4,2,9,25,7,2,4,2,0
282,28,20750,10,7,2,18,7,7,1,2,1
283,36,41520,10,8,10,19,9,5,1,1,0
284,38,96190,10,1,1,13,4,0,3,3,0
285,44,135030,9,5,8,12,2,4,1,3,0
286,47,54410,28,22,27,22,9,13,4,3,0
287,30,52090,10,8,8,14,7,7,3,4,0
288,29,106730,1,1,1,13,1,0,3,3,0
289,42,50100,7,2,10,21,6,2,3,3,1
290,43,135490,7,2,26,11,3,2,4,4,0
291,34,49990,10,5,2,12,3,3,2,3,0
292,23,42210,5,4,13,11,1,2,2,1,0
293,39,138720,12,8,2,12,9,6,3,2,0
294,56,20420,30,10,2,12,7,1,3,4,0
295,40,20730,5,4,9,14,0,3,4,4,0
296,27,29560,9,7,10,13,8,7,4,1,0
297,29,29260,2,2,20,15,1,2,4,2,0
298,53,48090,19,2,9,18,2,2,4,4,0
299,35,51630,16,1,5,18,2,0,4,1,0
300,32,188440,10,10,4,19,1,7,3,4,0
301,38,181720,6,1,10,12,6,1,4,3,0
302,34,57440,7,0,20,19,3,0,2,1,0
303,52,28890,34,34,21,11,1,16,3,1,0
304,33,28710,10,10,1,17,1,8,4,4,1
305,25,74840,6,6,8,15,1,4,3,4,0
306,45,60740,9,8,2,14,0,1,2,3,0
307,23,173280,2,2,23,17,1,2,1,3,0
308,47,27740,10,5,4,13,4,3,2,3,1
309,34,45050,6,6,12,12,1,4,4,4,0
310,55,74280,24,5,7,12,5,4,4,1,1
311,36,116310,10,10,7,18,1,9,1,1,0
312,52,97380,5,4,1,18,0,2,4,4,0
313,26,28350,5,2,2,11,3,0,1,4,0
314,29,169590,11,8,10,14,4,1,2,3,0
315,26,26130,6,4,15,19,6,2,4,1,1
316,34,61460,10,4,14,12,2,3,2,4,0
317,54,49630,9,5,18,15,9,4,4,1,0
318,27,195370,5,4,13,12,0,1,3,4,0
319,37,61720,6,5,2,11,0,3,4,1,0
320,38,23680,17,15,2,11,6,12,1,1,0
321,34,103120,6,6,2,12,1,3,3,1,0
322,35,16750,3,3,5,16,1,2,1,4,0
323,30,25230,7,2,20,13,3,2,4,3,0
324,40,65670,8,8,10,13,1,7,3,2,0
325,34,47390,6,3,10,24,5,2,3,1,0
326,42,92080,24,24,9,15,1,9,2,4,0
327,23,45590,1,0,2,18,1,0,3,1,1
328,24,81890,1,1,1,14,1,0,3,2,0
329,52,29420,9,5,29,11,8,4,4,3,0
330,50,49410,30,4,8,11,5,3,3,3,0
331,29,106500,1,1,2,13,1,0,2,1,1
332,33,59020,14,13,3,12,0,7,3,3,0
333,33,86390,6,3,23,16,5,2,1,1,1
334,47,63470,26,26,6,14,1,0,3,4,0
335,36,42000,10,9,6,22,0,5,3,2,0
336,29,34520,10,10,10,11,1,7,3,3,0
337,58,43170,40,31,24,17,7,8,4,2,1
338,35,26320,7,2,10,13,3,2,4,3,0
339,42,46680,8,4,15,18,9,2,4,4,0
340,28,32040,5,2,19,16,6,1,3,3,1
341,36,27200,8,5,2,14,4,4,3,2,0
342,32,171810,14,14,3,14,1,8,3,3,0
343,40,22380,10,1,9,14,2,0,1,3,0
344,30,14830,12,0,7,13,5,0,3,4,0
345,45,56050,1,1,10,12,1,0,2,3,0
346,42,72950,10,9,20,15,1,8,2,2,0
347,38,23060,13,4,4,19,2,2,1,1,0
348,34,23480,6,5,7,14,1,3,3,4,0
349,49,89980,9,9,7,14,1,7,3,4,1
350,55,43190,12,9,16,11,4,3,3,4,1
351,43,61320,22,4,25,13,6,0,2,1,0
352,27,33460,9,9,2,21,1,8,3,4,0
353,35,108550,17,8,1,13,3,6,3,3,0
354,28,22310,8,8,1,12,1,5,2,2,0
355,34,23230,4,3,2,17,0,2,3,4,0
356,26,20240,8,8,22,23,1,7,3,3,1
357,27,27130,0,0,1,11,1,0,4,4,0
358,51,94390,29,20,16,15,2,17,1,3,0
359,44,25660,10,5,24,11,9,3,4,2,0
360,25,199260,6,4,17,11,7,1,1,1,0
361,33,24510,9,9,8,13,1,8,1,1,0
362,35,94190,6,6,6,24,1,1,3,1,0
363,36,86860,18,18,10,13,1,11,2,4,0
364,32,30380,8,5,3,20,2,3,2,4,0
365,30,30580,10,5,4,14,9,3,2,4,0
366,53,23250,35,5,6,18,7,4,1,4,0
367,45,20880,18,5,1,15,4,2,4,1,0
368,32,30720,9,5,10,12,5,3,3,3,0
369,52,50060,31,9,1,16,3,0,3,4,0
370,37,42570,9,1,24,15,4,0,4,3,0
371,28,25000,6,5,21,16,1,4,2,4,0
372,22,11020,4,2,2,19,6,2,4,4,0
373,44,104530,10,3,22,11,2,2,1,4,0
374,42,22880,8,2,13,16,5,2,2,4,0
375,36,39290,6,5,14,24,0,3,1,1,0
376,25,23110,5,5,11,11,1,3,3,1,0
377,35,31400,17,17,9,13,1,15,4,3,0
378,35,36900,10,10,8,13,1,8,4,2,1
379,32,44500,4,3,21,13,0,2,4,4,0
380,25,27560,5,5,5,12,1,3,3,1,0
381,49,190330,7,4,9,18,2,2,3,1,0
382,24,187220,6,5,2,22,0,4,1,4,0
383,32,95470,10,10,12,13,1,3,2,2,0
384,38,137340,3,2,22,13,0,2,2,2,0
385,42,199990,17,5,18,23,2,3,3,4,0
386,31,22790,8,6,16,12,3,2,4,4,0
387,29,59160,5,3,3,12,6,2,2,3,1
388,53,20890,28,2,9,16,5,2,1,4,0
389,35,167920,16,13,1,12,3,8,4,2,0
390,37,35640,10,5,13,11,5,0,3,4,0
391,53,44250,33,12,1,22,6,8,4,4,0
392,43,52650,12,5,1,11,4,2,4,4,0
393,47,65530,8,7,15,15,0,7,3,4,0
394,37,62610,10,10,1,12,1,9,1,2,0
395,50,42980,31,31,17,20,1,7,1,1,0
396,39,68040,13,5,1,14,8,4,4,4,0
397,33,38150,7,4,7,11,3,3,4,2,0
398,32,27410,1,1,9,15,1,1,1,4,1
399,29,66730,8,4,5,12,6,3,1,4,0
400,44,76390,8,8,26,14,1,1,2,1,0
401,28,23280,4,4,24,11,1,2,1,4,0
402,58,21530,3,1,9,11,9,0,4,4,1
403,43,48760,4,1,7,16,4,0,1,2,0
404,20,93960,2,2,11,12,1,2,3,3,1
405,21,104000,1,1,1,13,1,0,3,4,1
406,36,84740,17,16,26,14,0,11,3,4,0
407,47,99810,3,3,2,21,1,2,4,4,0
408,22,124900,4,3,15,13,0,2,2,3,1
409,41,26570,10,7,23,11,4,0,2,4,1
410,28,135910,6,2,10,20,5,2,3,3,0
411,39,66960,8,2,10,11,7,2,4,1,1
412,27,20580,1,1,1,14,1,0,2,3,0
413,34,88650,1,1,12,11,1,0,2,2,0
414,42,59400,10,5,11,16,7,3,3,3,0
415,33,59140,6,3,2,16,3,2,3,1,0
416,58,26220,24,6,2,23,2,4,3,2,0
417,31,121850,13,7,1,14,3,2,2,3,0
418,35,106090,10,10,2,22,1,7,4,4,0
419,49,43450,29,26,25,15,4,7,1,2,0
420,48,21770,13,0,1,18,4,0,4,3,0
421,31,27930,9,9,1,16,1,0,4,3,0
422,36,79180,8,6,2,12,2,1,2,4,0
423,38,87890,15,15,6,11,1,11,4,1,0
424,32,23890,5,3,18,12,6,2,3,2,0
425,25,32120,1,1,1,15,1,0,3,2,1
426,40,192320,11,1,1,14,2,0,1,2,0
427,26,22670,7,7,11,19,1,7,3,1,0
428,41,195170,20,18,1,13,2,17,4,1,0
429,36,24360,16,11,9,13,4,9,3,3,0
430,19,160640,1,1,15,15,1,0,4,2,1
431,20,27070,1,1,29,11,1,0,1,1,1
432,31,190680,10,9,1,12,0,5,4,4,0
433,40,39310,3,1,1,19,8,0,4,2,0
434,32,37300,8,8,24,25,1,3,3,1,0
435,36,22320,16,16,10,12,1,7,3,4,1
436,33,44650,6,5,1,13,0,4,2,4,0
437,37,30720,17,14,10,14,5,7,1,3,1
438,45,33190,9,9,8,12,1,8,3,2,0
439,29,192020,3,3,29,12,1,2,3,4,0
440,35,136750,5,5,1,15,1,0,3,3,0
441,52,29110,26,9,5,17,2,8,4,4,0
442,58,59570,7,1,9,14,4,0,4,3,1
443,53,39200,22,17,9,16,6,2,3,3,0
444,30,64340,10,8,3,14,5,7,3,3,0
445,38,100480,6,5,4,23,1,3,3,4,0
446,35,109380,12,10,1,14,6,8,4,4,0
447,39,23400,9,8,1,11,0,7,1,3,0
448,40,65450,22,1,2,15,4,0,2,2,1
449,47,69310,20,19,7,11,1,7,3,3,0
450,36,48980,12,7,28,13,4,7,1,4,0
451,31,25930,4,3,28,21,0,2,3,1,1
452,33,194360,10,10,15,19,1,0,4,3,0
453,29,27230,3,0,3,11,6,0,4,1,1
454,33,34790,5,3,2,12,3,2,2,4,0
455,45,27940,8,5,26,19,3,2,4,4,0
456,50,52490,32,5,10,21,9,3,4,4,0
457,33,21760,6,6,1,14,1,2,3,2,0
458,41,168720,21,18,11,15,2,11,1,3,0
459,27,34850,4,2,20,17,9,2,3,2,0
460,45,66440,9,9,2,12,1,8,4,1,0
461,47,55820,9,9,18,16,1,7,4,4,0
462,30,40000,7,5,2,12,4,1,1,3,1
463,50,134960,22,12,1,18,3,5,4,3,0
464,38,32100,3,2,13,17,0,2,3,3,0
465,46,190450,13,8,28,11,6,7,4,3,0
466,24,118490,5,4,28,16,1,2,4,3,0
467,35,20700,5,4,24,13,1,2,3,2,1
468,31,65020,4,4,5,12,1,3,3,1,0
469,18,32300,0,0,5,12,1,0,2,4,0
470,54,136030,22,10,23,13,8,8,3,3,0
471,35,119960,16,16,6,19,1,1,3,3,0
472,30,56050,9,8,4,12,0,7,2,1,0
473,20,63970,1,1,2,17,1,0,4,1,1
474,30,191440,4,3,8,11,0,2,2,2,1
475,26,175840,8,8,1,20,1,3,4,4,0
476,22,49070,4,4,8,21,2,1,2,1,0
477,48,45540,19,2,2,11,2,2,1,3,0
478,48,54150,27,15,3,11,7,8,3,3,0
479,41,47410,8,2,2,16,6,1,4,3,0
480,39,21150,21,21,2,18,1,8,4,4,0
481,27,31610,4,3,3,13,0,2,1,4,0
482,35,57450,3,3,24,17,1,2,2,4,0
483,42,23730,21,1,23,14,6,0,4,3,0
484,50,33100,8,1,27,22,4,0,1,4,0
485,59,186650,30,5,16,12,3,3,3,4,0
486,37,44850,15,1,15,11,5,0,1,2,1
487,55,27890,17,8,26,13,3,7,3,2,0
488,41,58280,21,21,19,13,1,10,2,3,0
489,38,23260,19,1,24,14,8,0,3,4,0
490,26,135250,7,2,21,17,8,2,2,1,1
491,52,14200,33,32,5,13,1,9,1,4,1
492,44,80200,23,12,16,11,3,11,4,4,0
493,50,36880,19,18,2,11,0,13,4,3,0
494,36,54820,18,17,2,18,1,14,3,1,1
495,39,160150,21,21,11,11,1,8,4,1,0
496,33,12000,3,2,9,11,0,2,2,4,0
497,45,56610,26,9,7,12,3,1,4,4,0
498,32,69290,10,8,15,20,9,7,4,3,0
499,34,96130,16,15,6,12,0,9,2,4,0
500,59,56740,14,6,5,12,3,4,2,4,0
501,45,54840,6,6,16,20,1,4,2,2,0
502,53,120610,30,15,8,20,2,12,3,2,0
503,36,56600,9,1,7,12,7,0,1,3,1
504,26,48210,6,3,2,14,6,2,1,1,1
505,34,64100,1,1,2,13,1,0,3,3,0
506,28,52100,1,1,10,15,1,0,4,2,0
507,38,26950,8,2,9,14,3,2,3,3,0
508,50,118780,29,8,5,13,2,7,2,3,0
509,37,170680,8,4,1,23,3,1,4,2,0
510,40,24550,8,7,2,15,1,5,3,1,0
511,26,139640,5,5,3,11,1,3,1,3,0
512,46,49410,23,2,2,13,9,2,4,4,0
513,54,24780,13,9,5,11,6,0,3,3,0
514,56,52280,18,5,1,11,2,3,1,3,0
515,36,44780,15,14,4,18,0,8,4,4,0
516,55,75470,31,9,2,16,7,2,3,1,0
517,43,50550,18,1,25,22,5,0,3,4,0
518,20,34640,2,2,8,20,1,2,4,4,1
519,21,57750,1,1,1,18,1,0,3,1,1
520,46,89430,19,16,12,12,8,7,4,1,0
521,51,192720,18,10,23,20,9,7,1,3,1
522,28,52380,10,10,19,17,1,9,2,1,1
523,26,46820,6,5,5,11,1,3,1,1,0
524,30,183000,7,6,8,14,0,2,3,1,0
525,41,52570,10,10,1,14,1,8,2,3,0
526,38,63490,20,19,5,11,0,9,3,3,0
527,40,48690,14,11,1,12,4,1,1,4,0
528,27,99850,3,3,11,14,1,2,1,3,0
529,55,36970,23,3,23,13,3,2,4,2,0
530,28,74570,10,8,1,11,3,7,3,3,0
531,44,21190,24,20,18,15,9,6,2,1,1
532,33,39830,9,3,23,12,4,2,4,4,0
533,35,61180,9,8,7,21,0,7,4,1,1
534,33,62140,14,13,1,19,1,8,1,3,1
535,28,63470,4,4,1,15,1,2,1,3,0
536,34,115100,7,6,29,14,0,4,1,4,0
537,37,71430,8,1,7,21,2,0,4,4,0
538,25,82680,7,7,25,12,1,6,4,4,1
539,26,80950,1,1,8,15,1,0,1,3,1
540,33,29040,5,2,8,13,4,2,1,2,1
541,42,60320,23,22,11,14,0,7,4,1,0
542,28,29760,1,1,7,14,1,0,1,2,1
543,50,159920,5,0,1,14,3,0,4,3,1
544,33,46490,4,3,9,12,0,2,4,2,0
545,34,26960,6,0,1,23,3,0,3,4,0
546,48,23700,27,5,2,11,2,1,1,4,0
547,45,125040,15,15,1,12,1,12,2,3,0
548,52,59740,18,8,1,18,7,0,2,2,0
549,38,47360,9,8,6,11,0,7,3,3,0
550,29,52960,11,7,8,14,4,7,3,4,0
551,28,67810,10,9,1,15,0,7,4,2,0
